Gene_ID	Pathway_ID
SAOUHSC_00975	sao00001
SAOUHSC_00976	sao00001;sao02000
SAOUHSC_00980	sao00001;sao01006;sao01000
SAOUHSC_00982	sao00001;sao01000
SAOUHSC_00983	sao00001;sao01000
SAOUHSC_00984	sao00001;sao01000
SAOUHSC_00985	sao00001;sao01000
SAOUHSC_00986	sao00001;sao01002
SAOUHSC_00987	sao00001;sao01002
SAOUHSC_00988	sao00001;sao01002;sao01000
SAOUHSC_00989	sao00001;sao01007
SAOUHSC_00994	sao00001;sao01000
SAOUHSC_00997	sao00001
SAOUHSC_00998	sao00001;sao01000
SAOUHSC_00999	sao00001;sao01000
SAOUHSC_01000	sao00001;sao01000
SAOUHSC_01001	sao00001;sao01000
SAOUHSC_01002	sao00001;sao01000
SAOUHSC_01007	sao00001;sao01000
SAOUHSC_01008	sao00001;sao01000
SAOUHSC_01009	sao00001;sao01000
SAOUHSC_01010	sao00001;sao01000
SAOUHSC_01011	sao00001;sao01000
SAOUHSC_01012	sao00001;sao01000
SAOUHSC_01013	sao00001;sao01000
SAOUHSC_01014	sao00001;sao01002;sao01000
SAOUHSC_01015	sao00001;sao01000
SAOUHSC_01016	sao00001;sao01000
SAOUHSC_01017	sao00001;sao04147;sao01000
SAOUHSC_01018	sao00001;sao01000
SAOUHSC_01019	sao00001;sao02000
SAOUHSC_01021	sao00001;sao02000
SAOUHSC_01022	sao00001;sao02000
SAOUHSC_01026	sao00001;sao01000;sao03009
SAOUHSC_01028	sao00001;sao02000
SAOUHSC_01029	sao00001;sao02000;sao01000
SAOUHSC_01031	sao00001;sao01000
SAOUHSC_01032	sao00001;sao01000
SAOUHSC_01034	sao00001;sao02000
SAOUHSC_01035	sao00001;sao03019
SAOUHSC_01038	sao00001;sao01000
SAOUHSC_01040	sao00001;sao01000
SAOUHSC_01041	sao00001;sao01000
SAOUHSC_01042	sao00001;sao01000
SAOUHSC_01043	sao00001;sao04147;sao01000
SAOUHSC_01046	sao00001;sao02000;sao01000
SAOUHSC_01047	sao00001;sao02000
SAOUHSC_01048	sao00001;sao02000
SAOUHSC_01049	sao00001;sao02000
SAOUHSC_01053	sao00001;sao02000
SAOUHSC_01055	sao00001;sao01000
SAOUHSC_01058	sao00001
SAOUHSC_01063	sao00001;sao02000;sao01011;sao01003;sao03036;sao01000
SAOUHSC_01064	sao00001;sao01000
SAOUHSC_01065	sao00001;sao03029;sao01000
SAOUHSC_01066	sao00001;sao03029;sao01006;sao01000
SAOUHSC_01067	sao00001
SAOUHSC_01071	sao00001;sao01000
SAOUHSC_01074	sao00001;sao01000;sao03009
SAOUHSC_01075	sao00001;sao01000
SAOUHSC_01076	sao00001;sao03016;sao01000
SAOUHSC_01077	sao00001;sao03009
SAOUHSC_01079	sao00001;sao02000
SAOUHSC_01081	sao00001;sao02000
SAOUHSC_01082	sao00001;sao02000
SAOUHSC_01084	sao00001;sao02000
SAOUHSC_01085	sao00001;sao02000
SAOUHSC_01086	sao00001;sao02000
SAOUHSC_01088	sao00001;sao01002;sao01011;sao01000
SAOUHSC_01089	sao00001;sao01000
SAOUHSC_01091	sao00001;sao03016
SAOUHSC_01092	sao00001;sao03016;sao01007;sao01000
SAOUHSC_01093	sao00001;sao03016;sao01007;sao01000
SAOUHSC_01095	sao00001;sao03032;sao01000
SAOUHSC_01096	sao00001;sao03036
SAOUHSC_01098	sao00001;sao03400
SAOUHSC_01099	sao00001;sao03400
SAOUHSC_01100	sao00001;sao03110
SAOUHSC_01102	sao00001;sao03400
SAOUHSC_01103	sao00001
SAOUHSC_01104	sao00001;sao01000
SAOUHSC_01105	sao00001;sao01000
SAOUHSC_01106	sao00001;sao01011;sao01000
SAOUHSC_01107	sao00001;sao01000
SAOUHSC_01108	sao00001
SAOUHSC_01112	sao00001
SAOUHSC_01114	sao00001
SAOUHSC_01115	sao00001
SAOUHSC_01121	sao00001;sao02000;sao02042
SAOUHSC_01128	sao00001;sao01000
SAOUHSC_01129	sao00001;sao01000
SAOUHSC_01133	sao00001;sao02042
SAOUHSC_01135	sao00001
SAOUHSC_01136	sao00001
SAOUHSC_01137	sao00001
SAOUHSC_01141	sao00001
SAOUHSC_01142	sao00001;sao03000
SAOUHSC_01143	sao00001;sao01000;sao03009
SAOUHSC_01144	sao00001;sao03036
SAOUHSC_01145	sao00001;sao01011
SAOUHSC_01146	sao00001;sao01011;sao01000
SAOUHSC_01147	sao00001;sao01011;sao01000
SAOUHSC_01148	sao00001;sao03036
SAOUHSC_01149	sao00001;sao04812;sao03036
SAOUHSC_01150	sao02048;sao00001;sao04812;sao03036
SAOUHSC_01152	sao00001;sao01000
SAOUHSC_01153	sao00001
SAOUHSC_01154	sao00001;sao03036
SAOUHSC_01155	sao02044;sao00001
SAOUHSC_01158	sao00001;sao03036
SAOUHSC_01159	sao00001;sao03016;sao01007;sao01000
SAOUHSC_01160	sao00001;sao01000
SAOUHSC_01162	sao00001;sao01002;sao01000
SAOUHSC_01163	sao00001;sao01000;sao03009
SAOUHSC_01164	sao00001;sao03000;sao01000
SAOUHSC_01165	sao00001;sao02000
SAOUHSC_01166	sao00001;sao01000
SAOUHSC_01168	sao00001;sao01000
SAOUHSC_01169	sao00001;sao01000
SAOUHSC_01170	sao00001;sao01000
SAOUHSC_01171	sao00001;sao01000
SAOUHSC_01172	sao00001;sao01000
SAOUHSC_01176	sao00001;sao01000
SAOUHSC_01177	sao00001;sao03400;sao03021;sao01000
SAOUHSC_01178	sao00001;sao01000
